time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-13T11:02:56.340Z,-42.7373,173.054,15.11,7.8,mww,,21,0.481,0.56,us,us1000778i,2024-04-17T11:08:39.657Z,"53 km NNE of Amberley, New Zealand",earthquake,4.6,3.2,,,reviewed,us,us
2016-11-13T11:12:39.170Z,-42.4063,173.6606,9.91,5.7,mb,,79,0.709,1,us,us10007798,2022-05-03T19:47:50.037Z,"101 km SSW of Blenheim, New Zealand",earthquake,4.6,4.5,0.086,49,reviewed,us,us
2016-11-13T11:19:34.890Z,-42.2132,173.4319,10,5.5,mb,,81,0.597,1.07,us,us10007db8,2020-07-10T15:16:16.575Z,"88 km SSW of Blenheim, New Zealand",earthquake,2.6,1.9,0.169,12,reviewed,us,us
2016-11-13T11:23:29.250Z,-42.6024,174.3383,10,4.5,mb,,194,0.857,0.69,us,us10007dbw,2017-02-09T03:02:21.040Z,"124 km SSE of Blenheim, New Zealand",earthquake,5.8,2,0.313,3,reviewed,us,us
2016-11-13T11:24:18.090Z,-41.9404,173.7089,18.04,5.3,mb,,63,0.257,0.94,us,us10007ddz,2017-02-09T03:02:21.040Z,"51 km SSW of Blenheim, New Zealand",earthquake,4.9,1.8,0.133,19,reviewed,us,us
2016-11-13T11:32:06.540Z,-42.3205,173.6694,10,6.5,mww,,58,0.135,1.45,us,us10007795,2024-04-17T11:10:59.177Z,"92 km SSW of Blenheim, New Zealand",earthquake,4.4,1.7,,,reviewed,us,us
2016-11-13T11:33:45.790Z,-42.0511,174.3037,10.06,5.8,mb,,125,0.309,1.01,us,us10007ddw,2022-05-03T19:48:07.339Z,"66 km SSE of Blenheim, New Zealand",earthquake,3.8,1.1,0.146,17,reviewed,us,us
2016-11-13T11:41:49.800Z,-41.6877,174.2061,14.59,5.7,mb,,40,0.061,1.11,us,us10007797,2022-05-03T19:47:46.824Z,"28 km SE of Blenheim, New Zealand",earthquake,4.6,2.1,0.092,42,reviewed,us,us
2016-11-13T11:47:52.720Z,-42.0068,173.7915,6.35,4.3,mb,,67,0.298,0.92,us,us10007db9,2017-02-09T03:02:21.040Z,"56 km SSW of Blenheim, New Zealand",earthquake,3.9,6.2,0.201,7,reviewed,us,us
2016-11-13T11:49:03.290Z,-41.6189,174.2463,18.56,4.6,mb,,93,0.293,0.83,us,us10007de1,2017-02-09T03:02:21.040Z,"27 km ESE of Blenheim, New Zealand",earthquake,6.1,4,0.193,8,reviewed,us,us
