rep,scenario,status,n,n_sh,n_ns,true_mu,true_beta,true_Ksh,true_Kns,true_ash,true_ans,true_R,mu_hat,beta_hat,Ksh_hat,Kns_hat,ash_hat,ans_hat,R_hat,ll2,aic2,ll1,aic1,LR,lrt_p,R_lo,R_hi,R_covered,n_boot_ok,ks_p
1,A,ok,313,272,41,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.5849194127160726,5.350290966370844,0.28556884893549556,9.999999999999982e-09,0.07969683973178807,0.2568162227463813,28556884.893549606,87.76621682083697,-163.53243364167395,85.70488959515518,-163.40977919031036,4.122654451363587,0.1272849219199519,0.2044375938603336,5929.418121963157,True,25,0.6958098846996976
2,A,ok,371,315,56,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.848921676279973,1.3057171603398545,0.1382752507710432,0.26075434669128983,1.1958184820941309,8.712913787730603e-05,0.5302893413882335,165.50713395224727,-319.01426790449455,165.0847766216151,-322.1695532432302,0.8447146612643337,0.6554997673933857,0.12437996750990662,3019.0049207159745,True,30,0.48359504460171676
3,A,ok,323,269,54,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.528277580758081,5.4818438079375085,0.1592115615211132,7.24747055269901e-08,1.1391886141328922,0.011995284510965678,2196787.974003174,129.7662482035306,-247.53249640706122,122.53835367057667,-237.07670734115334,14.45578906590788,0.0007260479249764362,0.2693638283173796,3034.7515207713095,True,35,0.9656678788849256
4,A,ok,371,315,56,2.5,4.0,0.15,0.02,1.2,0.2,7.5,3.044602386588019,4.379094852921266,0.13164675173826634,0.01679379123750114,1.2896241153933206,2.25,7.839013232717483,169.12164854273306,-326.2432970854661,167.764580345358,-327.529160690716,2.714136394750085,0.25741435983149885,0.2774301618144134,55.810614809929476,True,26,0.6441653296544881
5,A,ok,278,239,39,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.2074578531953297,5.142095673539436,0.10103171843514544,0.3916827188619553,1.2486414672357165,1.4665374697004447e-06,0.25794275205374345,66.08315094236832,-120.16630188473664,62.04793756570393,-116.09587513140787,8.070426753328775,0.017681906804331793,0.2542554482855132,1385.7101559907483,True,30,0.9407979476630927
6,A,ok,307,253,54,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.631389874381738,3.0259275613840786,0.12849862553708227,4.921668016522046e-07,1.143570680457668,0.0015087479098026828,261087.5522398346,80.6198217509205,-149.239643501841,78.12615316043474,-148.25230632086948,4.987337180971508,0.0826063611032013,0.2728096099088045,5582.7559061877655,True,33,0.6686429891734726
7,A,ok,322,271,51,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.404534495500171,4.833147895730614,0.15925169690220423,0.09620697492896343,1.5739997192255926,0.00021970361121961344,1.6553030278708094,122.65484069234321,-233.30968138468643,118.54237656734273,-229.08475313468546,8.224928250000971,0.016367393491271587,0.23945930689647948,45.28213334425935,True,37,0.8157634554433971
8,A,ok,304,263,41,2.5,4.0,0.15,0.02,1.2,0.2,7.5,3.1014482402219294,10.000000000000002,0.027436779774662436,3.431754897209428e-07,1.8811141531591669,0.058370566022894914,79949.70677239502,71.52654477653664,-131.05308955307328,69.4253471364758,-130.8506942729516,4.202395280121664,0.12230985731593214,0.2786834088911714,505.86403865040734,True,34,0.8058308239401084
9,A,ok,336,284,52,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.4096418248909206,5.054284885568639,0.18267693049286055,0.0035067591435901397,1.2805472874605093,2.25,52.092807921173645,146.37984460170208,-280.75968920340415,144.25816952223494,-280.5163390444699,4.243350158934277,0.11983073429898916,0.14503476359337736,207.80683376544707,True,32,0.8537295607720323
10,A,ok,234,201,33,2.5,4.0,0.15,0.02,1.2,0.2,7.5,1.724949565720868,4.161876094996965,0.31298924088598684,1.780102553837778e-07,0.5123791080279002,0.007702228546730026,1758265.2202324169,7.058427984758339,-2.1168559695166778,4.663062421529588,-1.3261248430591763,4.790731126457501,0.09113935563497244,0.2312165248245939,1202.197311112759,True,32,0.9297091472747377
