time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-10T14:03:43.920Z,9.9071,125.4516,15,6.5,mww,,36,2.822,0.95,us,us20008ixa,2024-06-12T14:56:14.647Z,"11 km N of Mabua, Philippines",earthquake,5.2,1.7,,,reviewed,us,us
2017-02-11T09:11:00.050Z,9.8465,125.4643,10,4.9,mb,,113,2.761,0.93,us,us20008j5p,2022-05-03T19:52:55.546Z,"5 km NNE of Mabua, Philippines",earthquake,6.2,1.9,0.06,88,reviewed,us,us
2017-02-11T20:40:15.560Z,9.0583,126.4025,50.11,4.9,mb,,96,2.137,0.6,us,us20008j80,2017-05-09T01:24:34.040Z,"17 km ENE of La Paz, Philippines",earthquake,8.2,6.8,0.056,100,reviewed,us,us
2017-02-12T03:01:30.320Z,9.899,125.5071,10,4.6,mb,,104,2.812,0.7,us,us20008lhq,2017-05-13T01:03:17.040Z,"11 km SW of Dinagat, Philippines",earthquake,7.9,1.9,0.092,35,reviewed,us,us
2017-02-12T15:01:48.670Z,9.9139,126.3359,10,4.6,mb,,109,2.923,0.9,us,us20008li7,2017-05-13T01:03:18.040Z,"26 km ENE of Pilar, Philippines",earthquake,8.9,1.8,0.09,37,reviewed,us,us
2017-02-12T19:51:26.990Z,10.0126,125.8686,10,4.3,mb,,182,8.742,0.94,us,us20008lij,2017-05-13T01:03:18.040Z,"16 km WNW of San Benito, Philippines",earthquake,14.4,2,0.148,13,reviewed,us,us
2017-02-13T11:14:45.550Z,9.6874,125.4423,58.51,4.6,mb,,104,2.604,0.69,us,us20008lrw,2017-05-13T01:03:18.040Z,"6 km SSW of Mati, Philippines",earthquake,10.9,9.2,0.129,18,reviewed,us,us
2017-02-13T19:14:45.240Z,9.7168,125.6494,24,4.7,mb,,104,2.631,0.91,us,us20008jju,2017-05-13T01:03:19.040Z,"7 km ENE of Tagana-an, Philippines",earthquake,4.3,6.1,0.092,36,reviewed,us,us
2017-02-13T20:03:58.430Z,9.8378,125.4575,10,5,mb,,88,2.753,0.92,us,us20008jk1,2017-05-13T01:03:19.040Z,"4 km NNE of Mabua, Philippines",earthquake,7.7,1.8,0.049,135,reviewed,us,us
2017-02-16T05:29:25.490Z,10.0124,125.9948,10,4.3,mb,,151,2.952,0.3,us,us20008k53,2017-05-13T01:03:21.040Z,"4 km W of Santa Monica, Philippines",earthquake,10.5,2,0.138,15,reviewed,us,us
2017-02-17T09:18:26.310Z,9.8504,125.4215,10,4.7,mb,,78,2.767,0.79,us,us20008ken,2017-05-13T01:03:23.040Z,"5 km NNW of Mabua, Philippines",earthquake,8.5,1.9,0.066,69,reviewed,us,us
2017-02-18T07:01:28.010Z,10.4092,126.748,63.14,4.5,mb,,133,16.455,0.55,us,us100085q1,2017-05-13T01:03:24.040Z,"88 km ENE of Santa Monica, Philippines",earthquake,14.1,8.5,0.111,24,reviewed,us,us
2017-02-18T16:55:04.710Z,10.3887,126.8732,57.87,4.4,mb,,140,34.539,0.75,us,us100085qg,2017-05-13T01:03:24.040Z,"100 km ENE of Santa Monica, Philippines",earthquake,14.5,9.9,0.189,8,reviewed,us,us
2017-02-25T18:57:24.920Z,10.5414,126.769,10,5.2,mb,,50,3.644,1.01,us,us20008mfc,2017-05-17T01:19:40.040Z,"98 km NE of Santa Monica, Philippines",earthquake,8.4,1.8,0.045,166,reviewed,us,us
2017-02-25T19:01:38.370Z,10.4092,126.7858,10,4.5,mb,,138,16.488,0.46,us,us100086ty,2017-05-17T01:19:40.040Z,"92 km ENE of Santa Monica, Philippines",earthquake,9.9,1.9,0.136,16,reviewed,us,us
2017-02-25T21:27:07.500Z,10.5298,126.9081,10,4.5,mb,,139,3.68,0.81,us,us100086u1,2017-05-17T01:19:40.040Z,"110 km ENE of Santa Monica, Philippines",earthquake,5.3,1.9,0.115,22,reviewed,us,us
2017-03-04T03:36:34.360Z,10.464,126.8125,30.14,4.8,mb,,132,3.586,0.76,us,us10008891,2017-05-24T02:48:15.040Z,"98 km ENE of Santa Monica, Philippines",earthquake,10.2,5.5,0.085,42,reviewed,us,us
2017-03-05T00:08:18.010Z,9.8311,125.4961,10.51,5.7,mww,,76,2.745,0.74,us,us1000870s,2022-05-03T18:12:00.780Z,"4 km N of Surigao, Philippines",earthquake,7.4,3.3,,,reviewed,us,us
2017-03-05T04:06:43.550Z,9.8525,125.4713,10,4.3,mb,,118,2.767,0.65,us,us100088nq,2017-05-31T01:58:53.040Z,"6 km NNE of Mabua, Philippines",earthquake,11,1.9,0.119,20,reviewed,us,us
2017-03-14T11:47:56.350Z,9.7629,125.3791,40.98,4.7,mb,,57,2.683,1.1,us,us100088vj,2017-06-07T00:33:38.040Z,"7 km WSW of Ipil, Philippines",earthquake,8.5,7.2,0.058,91,reviewed,us,us
2017-04-15T07:21:47.610Z,9.0666,126.2599,76.64,4.6,mb,,122,2.095,0.78,us,us10008hts,2017-07-05T18:10:01.040Z,"5 km NNE of Tago, Philippines",earthquake,10.8,8.1,0.073,55,reviewed,us,us
2017-04-17T13:55:20.700Z,9.0964,126.4469,41.88,4.6,mb,,82,2.189,0.4,us,us10008icy,2017-07-11T01:48:35.040Z,"23 km ENE of La Paz, Philippines",earthquake,9.4,7.2,0.082,45,reviewed,us,us
2017-04-18T19:08:26.190Z,8.9398,126.4992,112.37,4.4,mb,,163,22.126,0.67,us,us10008n3f,2017-07-11T01:48:36.040Z,"21 km ENE of Aras-asan, Philippines",earthquake,18.6,11.3,0.161,11,reviewed,us,us
