time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-10-15T00:12:32.050Z,9.8796,124.1167,19.04,7.1,mww,,12,3.144,1.3,us,usb000kdb4,2023-12-02T00:16:21.231Z,"4 km SE of Sagbayan, Philippines",earthquake,,2.9,,,reviewed,us,us
2013-10-15T00:17:39.940Z,9.9697,124.1844,10,5,mb,,118,3.194,1.46,us,usb000kiw3,2013-12-30T23:41:07.000Z,"10 km ENE of Canmaya Diot, Philippines",earthquake,,1.9,0.2,,reviewed,us,us
2013-10-15T00:18:51.590Z,10.0015,124.3693,10,4.9,mb,,102,11.086,0.72,us,usb000kiw4,2013-12-30T23:41:07.000Z,"3 km ENE of San Miguel, Philippines",earthquake,,1.9,0.14,,reviewed,us,us
2013-10-15T00:19:26.590Z,10.0098,124.0544,10,5.3,mb,,91,3.287,1.22,us,usb000kiw5,2013-12-30T23:41:07.000Z,"4 km N of Nahawan, Philippines",earthquake,,1.9,0.133,,reviewed,us,us
2013-10-15T00:20:27.710Z,9.8249,123.5594,10,5.1,mb,,114,3.389,1.12,us,usb000kiw6,2013-12-30T23:41:07.000Z,"1 km ENE of Casay, Philippines",earthquake,,1.9,0.18,,reviewed,us,us
2013-10-15T00:22:21.480Z,9.8612,123.8709,10,4.5,mb,,177,3.247,0.82,us,usb000kiw8,2013-12-30T23:41:07.000Z,"3 km S of Calape, Philippines",earthquake,,1.9,0.271,,reviewed,us,us
2013-10-15T00:24:56.800Z,9.8321,123.9569,10,4.8,mb,,91,3.179,1.04,us,usb000kiwa,2013-12-30T23:41:07.000Z,"5 km SE of Bagacay, Philippines",earthquake,,1.8,0.249,,reviewed,us,us
2013-10-15T00:28:57.210Z,9.9521,124.2232,17.31,5.2,mb,,44,3.162,0.99,us,usb000kdbw,2013-12-30T23:41:07.000Z,"8 km NW of Dagohoy, Philippines",earthquake,,3.2,0.055,,reviewed,us,us
2013-10-15T00:31:23.710Z,9.9159,124.0725,10,4.9,mb,,118,3.196,0.99,us,usb000kiwb,2013-12-30T23:41:07.000Z,"2 km W of Sagbayan, Philippines",earthquake,,1.9,0.112,,reviewed,us,us
2013-10-15T00:32:34.170Z,9.6544,124.3451,10,4.7,mb,,95,2.843,1.11,us,usb000kiwc,2013-12-30T23:41:07.000Z,"1 km SW of Canjulao, Philippines",earthquake,,1.7,0.147,,reviewed,us,us
2013-10-15T00:33:43.100Z,9.9045,124.165,10,5.3,mb,,47,3.144,0.92,us,usb000kdca,2013-12-30T23:41:07.000Z,"6 km N of Nueva Fuerza, Philippines",earthquake,,1.7,0.057,,reviewed,us,us
2013-10-15T00:39:11.790Z,10.0002,124.1835,10,4.7,mb,,66,3.222,1.14,us,usb000kiwd,2013-12-30T23:41:07.000Z,"11 km NE of Canmaya Diot, Philippines",earthquake,,1.5,0.092,,reviewed,us,us
2013-10-15T00:40:14.780Z,10.0972,124.2236,10,4.2,mb,,119,3.293,1.2,us,usb000kiwe,2013-12-30T23:41:07.000Z,"Leyte, Philippines",earthquake,,1.9,0.264,,reviewed,us,us
2013-10-15T01:03:00.130Z,9.9406,124.0969,10,4.6,mb,,127,3.207,0.94,us,usb000kdda,2013-12-30T23:41:07.000Z,"0 km NE of Canmaya Diot, Philippines",earthquake,,1.8,0.103,,reviewed,us,us
2013-10-15T01:05:36.080Z,10.2808,125.0733,10,4.1,mb,,158,3.229,0.82,us,usb000kiwi,2013-12-30T23:41:07.000Z,"10 km ENE of Tomas Oppus, Philippines",earthquake,,1.9,0.214,,reviewed,us,us
2013-10-15T01:07:35.340Z,9.9202,124.1325,10,4.9,mb,,48,3.173,0.88,us,usb000kdd6,2013-12-30T23:41:07.000Z,"4 km E of Sagbayan, Philippines",earthquake,,1.8,0.066,,reviewed,us,us
2013-10-15T01:21:45.030Z,10.0164,123.8771,10,4.4,mb,,125,3.377,0.45,us,usb000kiwl,2013-12-30T23:41:08.000Z,"10 km NNW of Abucayan, Philippines",earthquake,,1.7,0.179,,reviewed,us,us
2013-10-15T01:24:55.090Z,9.9667,123.9859,10,4.7,mb,,59,3.281,0.79,us,usb000kddn,2013-12-30T23:41:08.000Z,"1 km N of Panaytayon, Philippines",earthquake,,1.8,0.077,,reviewed,us,us
2013-10-15T01:28:26.870Z,10.293,125.2241,10,4.5,mb,,123,20.424,0.88,us,usb000kiwn,2013-12-30T23:41:08.000Z,"7 km SSW of Hinundayan, Philippines",earthquake,,1.9,0.156,,reviewed,us,us
2013-10-15T01:30:02.940Z,9.9136,124.1794,10,4.7,mb,,76,3.146,0.5,us,usb000kddp,2013-12-30T23:41:08.000Z,"7 km N of Nueva Fuerza, Philippines",earthquake,,1.3,0.084,,reviewed,us,us
2013-10-15T01:35:25.740Z,9.6252,123.6247,10,4.4,mb,,117,3.191,0.48,us,usb000kiwt,2013-12-30T23:41:08.000Z,"12 km WNW of Doljo, Philippines",earthquake,,1.5,0.102,,reviewed,us,us
2013-10-15T01:36:56.930Z,9.5237,123.7992,10,4.6,mb,,100,3.007,0.71,us,usb000kiwu,2013-12-30T23:41:08.000Z,"4 km SE of Tawala, Philippines",earthquake,,1.8,0.088,,reviewed,us,us
2013-10-15T01:37:54.050Z,9.7124,123.7433,10,5.1,mb,,97,3.192,0.55,us,usb000kdds,2013-12-30T23:41:08.000Z,"9 km NNW of San Agustin, Philippines",earthquake,,1.8,0.049,,reviewed,us,us
2013-10-15T01:55:27.770Z,9.8112,124.014,10,4.9,mb,,79,3.133,0.69,us,usb000kde0,2013-12-30T23:41:08.000Z,"7 km NE of Balilihan, Philippines",earthquake,,1.8,0.06,,reviewed,us,us
2013-10-15T02:22:45.280Z,9.7905,124.0349,10,4.3,mb,,169,3.105,0.84,us,usb000kix3,2013-12-30T23:41:08.000Z,"7 km ENE of Balilihan, Philippines",earthquake,,1.9,0.168,,reviewed,us,us
2013-10-15T02:36:46.540Z,9.9737,124.2654,10,4.5,mb,,133,3.164,1.05,us,usb000kdea,2013-12-30T23:41:08.000Z,"7 km NW of Mahayag, Philippines",earthquake,,1.7,0.086,,reviewed,us,us
2013-10-15T02:41:59.530Z,9.9337,123.9839,10,5,mb,,57,3.253,0.78,us,usb000kdeb,2013-12-30T23:41:08.000Z,"1 km S of Panaytayon, Philippines",earthquake,,1.7,0.06,,reviewed,us,us
2013-10-15T03:22:11.230Z,10.2754,124.5142,10,4.4,mb,,157,9.227,1.51,us,usb000kix8,2013-12-30T23:41:08.000Z,"17 km NNW of Pitogo, Philippines",earthquake,,1.9,0.144,,reviewed,us,us
2013-10-15T03:48:54.190Z,9.9318,124.3195,10,4.4,mb,,144,3.104,0.88,us,usb000kixa,2013-12-30T23:41:08.000Z,"0 km SE of Mahayag, Philippines",earthquake,,1.8,0.127,,reviewed,us,us
2013-10-15T04:00:27.970Z,9.5484,123.7027,10,4.4,mb,,117,3.084,0.96,us,usb000kixc,2013-12-30T23:41:08.000Z,"5 km SW of Doljo, Philippines",earthquake,,1.8,0.107,,reviewed,us,us
2013-10-15T04:22:27.390Z,9.8526,124.0053,10,5,mb,,44,3.173,0.74,us,usb000kdf4,2013-12-30T23:41:08.000Z,"9 km E of Bagacay, Philippines",earthquake,,1.8,0.054,,reviewed,us,us
2013-10-15T04:36:25.720Z,9.6724,123.7784,10,4.4,mb,,129,3.14,0.94,us,usb000kixd,2013-12-30T23:41:08.000Z,"Negros - Cebu region, Philippines",earthquake,,1.9,0.162,,reviewed,us,us
2013-10-15T05:12:15.750Z,9.7877,123.8606,20.14,4.6,mb,,100,3.191,0.73,us,usb000kdgz,2013-12-30T23:41:08.000Z,"5 km NNE of Maribojoc, Philippines",earthquake,,2.9,0.107,,reviewed,us,us
2013-10-15T05:16:47.760Z,9.8952,123.8127,19.97,4.3,mb,,179,3.306,0.78,us,usb000kdh4,2013-12-30T23:41:08.000Z,"6 km W of Calape, Philippines",earthquake,,3,0.202,,reviewed,us,us
2013-10-15T05:46:27.360Z,10.0235,124.0958,20.12,4.2,mb,,172,3.281,0.78,us,usb000kixj,2013-12-30T23:41:08.000Z,"7 km NE of Nahawan, Philippines",earthquake,,3,0.132,,reviewed,us,us
2013-10-15T05:47:16.220Z,10.2052,124.2466,20.28,4.5,mb,,118,3.382,0.89,us,usb000kdh7,2013-12-30T23:41:08.000Z,"6 km NNW of Bagacay, Philippines",earthquake,,2.9,0.124,,reviewed,us,us
2013-10-15T07:16:22.630Z,9.7512,123.6305,10,4.3,mb,,119,3.288,0.57,us,usb000ldp7,2013-12-30T23:41:08.000Z,"10 km E of Dalaguete, Philippines",earthquake,,1.9,0.154,,reviewed,us,us
2013-10-15T07:59:04.340Z,9.8732,124.1266,10,4.3,mb,,106,3.134,0.31,us,usb000kixs,2013-12-30T23:41:08.000Z,"5 km NW of Nueva Fuerza, Philippines",earthquake,,1.9,0.177,,reviewed,us,us
2013-10-15T08:23:05.710Z,9.7744,123.9529,10,4.3,mb,,122,3.132,0.45,us,usb000kixt,2013-12-30T23:41:08.000Z,"2 km NW of Balilihan, Philippines",earthquake,,1.9,0.125,,reviewed,us,us
2013-10-15T08:33:24.820Z,10.2483,124.4042,10,4.4,mb,,193,3.365,0.44,us,usb000kixu,2013-12-30T23:41:08.000Z,"12 km E of Calituban, Philippines",earthquake,,1.9,0.149,,reviewed,us,us
2013-10-15T08:36:20.900Z,9.8331,124.261,6.74,5.6,mwb,,24,3.039,0.62,us,usb000kdj3,2022-05-03T17:52:51.287Z,"4 km E of Buenavista, Philippines",earthquake,,2.8,0.05,,reviewed,us,us
2013-10-15T08:42:49.580Z,9.7931,123.6885,16.01,5.7,mww,,17,3.289,0.61,us,usb000kdj6,2022-07-25T23:35:56.960Z,"11 km W of Loon, Philippines",earthquake,,2.8,,,reviewed,us,us
2013-10-15T08:52:18.090Z,9.9194,124.0356,10,5.3,mb,,45,3.216,0.69,us,usb000kdjb,2022-05-03T16:29:23.611Z,"4 km SSE of Clarin, Philippines",earthquake,,1.6,0.05,,reviewed,us,us
2013-10-15T09:18:19.720Z,9.7962,124.0494,12.62,4.7,mb,,62,3.103,1.08,us,usb000kdjs,2013-12-30T23:41:09.000Z,"9 km ENE of Balilihan, Philippines",earthquake,,3.7,0.077,,reviewed,us,us
